select Xtra_Curr.title, count(*) AS theCount
    FROM School_Xtracurr INNER JOIN Xtra_Curr
    ON School_Xtracurr.xtracurr_id = Xtra_Curr.id
    GROUP BY School_Xtracurr.xtracurr_id
    ORDER BY theCount DESC;

title                                                                                                 theCo
Lincoln Center Open Stage Program                                                                     1    
Mentoring Programs through Minds Matter and Sponsors for Educational Opportunity (SEO)                1    
Theatre Development Residency Arts Project (RAP) Program                                              1    
Restorative Justice/Conflict Resolution                                                               1    
School Newsletter & Literary Magazine                                                                 1    
CIHS Tech Group                                                                                       1    
After-school Music Program                                                                            1    
Cheerleader                                                                                           1    
Right Brain Club                                                                                      1    
AIDS Awareness Day                                                                                    1    
Canned Food Drive                                                                                     1    
Enchanted Garden                                                                                      1    
English Language Arts (ELA) Enrichment Program                                                        1    
Freshman Honors Theatre Ensemble                                                                      1    
Penny Harvest                                                                                         1    
Student Producers                                                                                     1    
Video Production Workshop                                                                             1    
Drama; Honors Math                                                                                    1    
Kids for College (KFC)                                                                                1    
Band (The Daredevils)                                                                                 1    
Spoken Word (Open Mic)                                                                                1    
Website                                                                                               1    
Welcome Committee                                                                                     1    
Rich after-school program to provide increased academic                                               1    
artistic                                                                                              1    
and social support; Tutoring                                                                          1    
Asian Cultural Society                                                                                1    
Great Books                                                                                           1    
Speech                                                                                                1    
World Cultures                                                                                        1    
After-School/Saturday Tutoring Programs                                                               1    
Science and Health Fairs                                                                              1    
Art Bookwriting                                                                                       1    
Talent and Fashion                                                                                    1    
Instrumental and Vocal Music Program                                                                  1    
Biking                                                                                                1    
FEGS Work Readiness Program (WIA)                                                                     1    
and Track                                                                                             1    
Bronx River Project                                                                                   1    
Geocaching                                                                                            1    
Internet                                                                                              1    
Web Design Team                                                                                       1    
All academic and artistic extracurricular activities on the Christopher Columbus Campus are open to   1    
Drama and Health clubs                                                                                1    
Choirs and Dance activities                                                                           1    
Ex Libris Chapter of National Honor Society                                                           1    
Theater class                                                                                         1    
campus bands (Pep                                                                                     1    
Jazz and Concert)                                                                                     1    
National Spanish Honor Society                                                                        1    
Anime club                                                                                            1    
Young Men�s and Young Women�s Leadership programs                                                     1    
Theatre; Global Girls                                                                                 1    
Attendance Achievers                                                                                  1    
RISE                                                                                                  1    
CPR and First Aid Certification                                                                       1    
Regents and SAT Preparation                                                                           1    
Volunteering                                                                                          1    
Today�s Students Tomorrow�s Teachers                                                                  1    
Peer Mediation Program/Certification                                                                  1    
Tutoring Program                                                                                      1    
9th Grade Home Club                                                                                   1    
College Field Trips                                                                                   1    
Pep Band                                                                                              1    
Art and Career                                                                                        1    
Art and Literary Journal                                                                              1    
Mix Martial Arts                                                                                      1    
Track and Field                                                                                       1    
Ballroom and Latin Dance                                                                              1    
Acapella Groups                                                                                       1    
AFJROTC                                                                                               1    
Concert                                                                                               1    
Construction and Engineers Mentor Program for Future Engineers                                        1    
Drill Team                                                                                            1    
Robotics-FRC                                                                                          1    
FTC League                                                                                            1    
Website Design and Maintenance                                                                        1    
Campus-wide Dance                                                                                     1    
Symphonic Band; Bronxdale-specific clubs include Student Government                                   1    
Girls & Boys Empowerment Club                                                                         1    
QSA                                                                                                   1    
Culinary Academy                                                                                      1    
PSAL sports teams                                                                                     1    
Technology Club                                                                                       1    
YUGA club                                                                                             1    
Office Hours held by teachers in all departments                                                      1    
Computer/Technology                                                                                   1    
Electronic Publishing                                                                                 1    
Instrumental and Jazz Bands                                                                           1    
Performances                                                                                          1    
Professional Field Connections                                                                        1    
Online Exploration                                                                                    1    
Academic Committee for Excellence (ACE); Arista                                                       1    
Enrichment                                                                                            1    
Extended Day tutoring                                                                                 1    
Olympics Honor Roll                                                                                   1    
Regents preparation                                                                                   1    
Student Council; Tutoring in all subjects; Weightlifting                                              1    
The Challenge (academic competition); Art                                                             1    
Beginner�s Band                                                                                       1    
CFES Leadership Class                                                                                 1    
Drama Workshop                                                                                        1    
Introduction to Computers                                                                             1    
Panther Press Journalism                                                                              1    
Pep & Latin Jazz Band                                                                                 1    
Video/Drama                                                                                           1    
Website Development                                                                                   1    
Air Traffic Control Training                                                                          1    
ESL Homework Center                                                                                   1    
Gentlemens Club                                                                                       1    
Ladies Club                                                                                           1    
Leadership and College Readiness                                                                      1    
LifeSkills Training                                                                                   1    
Peer Academic Teams                                                                                   1    
Reality Works Real Baby Program                                                                       1    
Safe Space                                                                                            1    
SAT/ACT Prep                                                                                          1    
Saturday Academy Credit Recovery                                                                      1    
Our annual activities fair determines extracurricular activities. Current offerings include the foll  1    
JSA Debate Team                                                                                       1    
College and Field Trips                                                                               1    
College and Health Fairs                                                                              1    
Field Day                                                                                             1    
Electric Guitar                                                                                       1    
Keyboard; National Honor Society                                                                      1    
After-School and Peer Tutoring                                                                        1    
Peer Mediation Training Program                                                                       1    
Dance/Cheer Team                                                                                      1    
BRASS Athletic League                                                                                 1    
Dance/Theatre                                                                                         1    
Engineering and Robotics                                                                              1    
Girls Group                                                                                           1    
Humanities                                                                                            1    
Running/Track                                                                                         1    
Technology Class                                                                                      1    
Ceramic/Advanced Art                                                                                  1    
College                                                                                               1    
Model City Council                                                                                    1    
National Peace Competition                                                                            1    
New Visions Student Voice Team                                                                        1    
New York Council for the Humanities                                                                   1    
The Citizen and the Constitution                                                                      1    
Phipps After-school Program - Dance                                                                   1    
College Access; Boys Basketball                                                                       1    
Fordham STEP Program                                                                                  1    
Bronx Zoo Future Leaders Program                                                                      1    
Cross Stitching                                                                                       1    
Reading                                                                                               1    
Backgammon                                                                                            1    
Key; Film Screenings                                                                                  1    
Acting & Directing in Film                                                                            1    
Outdoors; Senior Leadership Association                                                               1    
Artist Residencies                                                                                    1    
�Beyond the Mat� Wrestling Appreciation                                                               1    
Kaplan SAT prep courses                                                                               1    
Rock and Roll Club                                                                                    1    
DJ and Music Production Team                                                                          1    
Curatorial Program                                                                                    1    
Japanese Culture and Anime                                                                            1    
Restorative Justice Committee                                                                         1    
Bachata Dance                                                                                         1    
New York Cares Service Program                                                                        1    
New York Commission on Human Rights Peer Mediator Program                                             1    
Sponsors for Educational Opportunity                                                                  1    
Latin and African Dance                                                                               1    
Children�s Aid Society programs include: Pre-college program                                          1    
College Excel; Corporate Workplace (job training and paid internship); College Set (scholarship prog  1    
MSG Classroom                                                                                         1    
NYU Preview2; CAS; Afterschool Clubs include: Digital Media and Game Design                           1    
Sports; Camp Interactive                                                                              1    
STEM club                                                                                             1    
Academic Excursions                                                                                   1    
Fit for Life                                                                                          1    
Photography/Art                                                                                       1    
HIV/AIDS Peer Education Program                                                                       1    
Citywide and National Writing and Art Contests                                                        1    
Kaplan SAT Prep Class                                                                                 1    
Montefiore Medical Center Project                                                                     1    
Peer Leadership Class                                                                                 1    
School/Community Service Projects                                                                     1    
Comedy Improv                                                                                         1    
Entrepreneurial Leadership                                                                            1    
McK Marching Band                                                                                     1    
McK Steppers                                                                                          1    
McKinney Scribbers                                                                                    1    
Poetry and Writers Institute                                                                          1    
Project Male                                                                                          1    
PSAT and Regents Preparation                                                                          1    
AP Class Support                                                                                      1    
Sister-to-Sister                                                                                      1    
Think Quest NYC                                                                                       1    
Young �Womyns� Leadership Group                                                                       1    
Artists Society                                                                                       1    
Graphic Art Studio                                                                                    1    
Making Beats Music Studio Production                                                                  1    
Mentoring with Visiting Artists                                                                       1    
Academic Centers                                                                                      1    
Batik T-Shirt Printing                                                                                1    
Hip-Hop African Dance                                                                                 1    
Hip-Hop/Spoken Word Poetry                                                                            1    
Spirit Squad Dance Team                                                                               1    
Yearbook and School Newspaper                                                                         1    
Construction and Engineering                                                                          1    
Drumline (Spring)                                                                                     1    
Jow-Ile-Bailar Dance Company                                                                          1    
Choral Music (Fall)                                                                                   1    
Manhattan Theater                                                                                     1    
Pre-Nursing                                                                                           1    
Theater Development Fund Program                                                                      1    
My Sister�s Keeper (Young Women�s Empowerment Group)                                                  1    
Art Exploration                                                                                       1    
Academic Decathalon                                                                                   1    
Amateur Radio                                                                                         1    
Beta                                                                                                  1    
BETA Honor Society                                                                                    1    
BTHSNEWS                                                                                              1    
Civil Air Patrol                                                                                      1    
CSI Team                                                                                              1    
DECA                                                                                                  1    
Find The Cure                                                                                         1    
Horizons Literary Magazine                                                                            1    
Korean Student Association                                                                            1    
Lady Dragons & Organized Chaos Step Teams                                                             1    
Opera                                                                                                 1    
Paleo                                                                                                 1    
Progressive Student Awareness                                                                         1    
Radish Satirical Newspaper                                                                            1    
Save Darfur                                                                                           1    
Scrabble                                                                                              1    
Straight & Gay Alliance                                                                               1    
Student Magazines                                                                                     1    
Survey School Newspaper                                                                               1    
Tech Internet Radio Project                                                                           1    
US FIRST (For Inspiration and Recognition of Science and Technology) Robotics                         1    
World Summit                                                                                          1    
Young Entrepreneurs Association                                                                       1    
Arabic                                                                                                1    
Bangladeshi                                                                                           1    
Claymation                                                                                            1    
Computer Technology Squad                                                                             1    
Computer Video Game Design                                                                            1    
French for Native Speakers                                                                            1    
Haitian                                                                                               1    
International Arts Exhibition                                                                         1    
Peer Training                                                                                         1    
Youth About Business                                                                                  1    
AP Summer Camp                                                                                        1    
Courtroom Drama                                                                                       1    
Film Editing                                                                                          1    
Graffiti Arts                                                                                         1    
New York University High School Law Institute                                                         1    
Reading Excellence and Discovery (READ)                                                               1    
SLJ Youth Court                                                                                       1    
Teens Take the City                                                                                   1    
Young Men's Association                                                                               1    
Young Women's Association                                                                             1    
Sports: Baseball                                                                                      1    
Big Brother & Big Sister                                                                              1    
Cultural Outings                                                                                      1    
Exploring New York                                                                                    1    
Girls Inc. of NYC Teen Program                                                                        1    
Digital Design                                                                                        1    
ROOT STEM Gardening Summer Internship                                                                 1    
LEGO League                                                                                           1    
Future Cities Competition                                                                             1    
Music Ensemble                                                                                        1    
College/Career Development Workshops & Seminars                                                       1    
TASC ExpandED - Lifeguarding & CPR/AED First Aid Certification; Student Government                    1    
Web Wiz                                                                                               1    
Art Explorers                                                                                         1    
Self-Defense                                                                                          1    
Media Mavens                                                                                          1    
Tech Gals                                                                                             1    
Recycling and Art                                                                                     1    
Step In School                                                                                        1    
Girls Gazette                                                                                         1    
Young Women Filmmakers                                                                                1    
DJ'ing 101                                                                                            1    
Debate Program                                                                                        1    
Girls Night Out                                                                                       1    
UAI Research Squad                                                                                    1    
Junior & Senior Committees                                                                            1    
Peer Leadership Group                                                                                 1    
New York Science & Engineering Fair                                                                   1    
Sonia Kovalevsky Day for Young Girls in Math                                                          1    
Bedford Gazette School Newspaper                                                                      1    
Student Government Council                                                                            1    
YMCA Youth and Government                                                                             1    
Male and Female Empowerment Class                                                                     1    
FIRST Robotics                                                                                        1    
Girl Power Group                                                                                      1    
NYC Explorers Club                                                                                    1    
International Trip Club                                                                               1    
Cheerleading Club                                                                                     1    
Poetry/Creative Writing Team                                                                          1    
90's Club                                                                                             1    
Africa Tours                                                                                          1    
African Dance Team                                                                                    1    
Banneker Sisters United                                                                               1    
Banneker Brothers United                                                                              1    
Benjamin Banneker Musical Chorus Group                                                                1    
Construction and Engineering (ACE) Program                                                            1    
Crocheting and Knitting                                                                               1    
Doctors of Tomorrow                                                                                   1    
Katrina Relief and Recovery Project                                                                   1    
Latino Dance Group                                                                                    1    
Literary Guild                                                                                        1    
LIU Charles Evans Innis Scholars Program and Work Hard/Play Hard                                      1    
Manhood Training                                                                                      1    
National Society of Black Engineers (NSBE) Jr.                                                        1    
Nurange Dance Company                                                                                 1    
Savvy Mentoring                                                                                       1    
Sisters Inspiring Sisters to Success (SISTS) Mentoring Program                                        1    
The After-school Corporation (TASC)                                                                   1    
Video Production (AV Squad)                                                                           1    
Vocational and Technical Education Act (VATEA) Engineering Program                                    1    
Warrior Scholars                                                                                      1    
Young Men�s Group                                                                                     1    
Young Poets Society                                                                                   1    
Zawadi Art Ensemble                                                                                   1    
Scholars HOOP                                                                                         1    
Scholars SPEAK                                                                                        1    
Audio Engineering Club                                                                                1    
City Poly Brothers United                                                                             1    
Photography Club                                                                                      1    
Yearbook Club                                                                                         1    
ScriptEd Coding                                                                                       1    
After-school tutoring and enrichment                                                                  1    
Weekend and vacation tutoring                                                                         1    
School culture committee                                                                              1    
Archon Society                                                                                        1    
Student performances and gallery openings                                                             1    
Evening and Saturday academies for English Language Learners                                          1    
Student Government Association (SGA)                                                                  1    
Advisory program                                                                                      1    
State of the Art Playfield                                                                            1    
The Latineer School Newspaper                                                                         1    
Certamen (Latin Competition)                                                                          1    
Saltare (Dance)                                                                                       1    
Global Awareness                                                                                      1    
Legati                                                                                                1    
Outdoors Club                                                                                         1    
Public Declamation                                                                                    1    
Stoked Skateboarding                                                                                  1    
Viajeros                                                                                              1    
Anime and Video Gaming                                                                                1    
Science Honors                                                                                        1    
Student Leadership Retreats; Science Fair and Science Research Program; Math and Technology Fair; Ad  1    
Three full concert bands                                                                              1    
two choral ensembles                                                                                  1    
two dance ensembles; Chamber groups such as guitar ensemble                                           1    
and clarinet choir; Annual theater/musical theater performances by students; Presentations at City/S  1    
Big Siblings Program                                                                                  1    
Leadership Classes                                                                                    1    
Extended Learning Academy; Three full concert bands                                                   1    
two choral ensembles; numerous chamber groups such as guitar ensemble                                 1    
and clarinet choir                                                                                    1    
Cinema                                                                                                1    
International Students                                                                                1    
New York State Business and Marketing Honor Society                                                   1    
PSAT/SAT Prep Classes                                                                                 1    
Quill and Scroll Honor Society                                                                        1    
Talent                                                                                                1    
Social Justice Council                                                                                1    
Student Ambassador Program                                                                            1    
College Exploration                                                                                   1    
High School Heroes                                                                                    1    
Semi-Annual Student Talent Show                                                                       1    
Young Lawyers Club                                                                                    1    
Film/Documentary Club                                                                                 1    
Music performances                                                                                    1    
Numerous art clubs with installations and presentations                                               1    
Students organize to establish clubs that interest them                                               1    
such as: Video game                                                                                   1    
Peer tutoring                                                                                         1    
Skateboarding club. WHSAD invites honor roll students to free incentive field trips at the end of ea  1    
including court-side seats to a Brooklyn Nets game                                                    1    
ice skating at Central Park                                                                           1    
and Broadway plays and musicals                                                                       1    
Greenpoint Youth Court                                                                                1    
iMentor                                                                                               1    
Literary and Art Journal                                                                              1    
Recruiting Ambassadors                                                                                1    
Video Gaming                                                                                          1    
Y Scholars program                                                                                    1    
Justice Panel                                                                                         1    
Library                                                                                               1    
Peer Mentorship                                                                                       1    
El Puente                                                                                             1    
Fundraising Club                                                                                      1    
Grand Master-Coached Chess Team                                                                       1    
Pit Crew                                                                                              1    
Troubleshooting Team                                                                                  1    
Track and Field Club                                                                                  1    
Junior Basketball Club                                                                                1    
Rites of Passage                                                                                      1    
Young Women�s Leadership Group                                                                        1    
Gardening Crew                                                                                        1    
Piston Pride Newspaper                                                                                1    
Web Design Club                                                                                       1    
Gaming and Animation Club                                                                             1    
History Club                                                                                          1    
Math Counts                                                                                           1    
Forensics Team                                                                                        1    
Bicycle Repair                                                                                        1    
Community-Based Service Projects (Reading Buddy program at nearby elementary school)                  1    
Digital Video Design                                                                                  1    
Regents Preparation & Saturday Academy                                                                1    
Recycling Team                                                                                        1    
School Spirit Team                                                                                    1    
School Tour Guides & Student Recruitment Committee                                                    1    
EPIC (Shakespeare)                                                                                    1    
Sisterhood                                                                                            1    
Film; GenerationOn (Student Government); Step                                                         1    
AM and PM Academic Support                                                                            1    
B-Boy/B-Girl                                                                                          1    
College and Vocational Counseling and Placement                                                       1    
