select Xtra_Curr.title, count(*) AS theCount
    FROM School_Xtracurr INNER JOIN Xtra_Curr
    ON School_Xtracurr.xtracurr_id = Xtra_Curr.id
    GROUP BY School_Xtracurr.xtracurr_id
    ORDER BY theCount DESC;

title                                                                                                 theCo
Global Glimpse                                                                                        2    
Media Production                                                                                      2    
Intramural Sports                                                                                     2    
Men of Strength                                                                                       2    
Movie Club                                                                                            2    
JROTC                                                                                                 2    
Tennis Club                                                                                           2    
Extended Day Tutoring                                                                                 2    
Improv Comedy                                                                                         2    
NYPD Explorers                                                                                        2    
