title                                                                        theCount  
Investment                                                                   2         
Meditation                                                                   2         
Cheer                                                                        2         
Junior Reserve Officers' Training Corps (JROTC)                              2         
Percussion Ensemble                                                          2         
Biology                                                                      2         
Academic Intervention Services                                               2         
Blood Drive                                                                  2         
Korean                                                                       2         
Movie Screenings                                                             2         
Korean Club                                                                  2         
Trips                                                                        2         
Spirit                                                                       2         
Career                                                                       2         
Girls Volleyball                                                             2         
Indoor Soccer                                                                2         
Boys Group                                                                   2         
We the People                                                                2         
Readers are Leaders                                                          2         
Animal Rights                                                                2         
Mu Alpha Theta                                                               2         
African                                                                      2         
Digital Storytelling                                                         2         
Latino                                                                       2         
Tibetan                                                                      2         
Law Club                                                                     2         
Video Game Club                                                              2         
Job Readiness Workshops                                                      2         
African Drumming                                                             2         
Sign Language                                                                2         
Hip Hop 4 Life                                                               2         
Garden Club                                                                  2         
Step/Dance Team                                                              2         
two jazz bands                                                               2         
Travel and Tourism                                                           2         
Urban Explorers                                                              2         
Computers                                                                    2         
Fine Arts                                                                    2         
Lunch and Learn                                                              2         
Financial Literacy                                                           2         
Anti-Bullying                                                                2         
Drumline                                                                     2         
After-School Program                                                         2         
DJ                                                                           2         
Federal Reserve Challenge                                                    2         
Dreamers                                                                     2         
Medical                                                                      2         
Movie                                                                        2         
Cheerleaders and Boosters                                                    2         
Creative Arts                                                                2         
Student Councils                                                             2         
Technology Team                                                              2         
Stepping                                                                     2         
International Festival                                                       2         
Dance/Step                                                                   2         
Asian Club                                                                   2         
Hellenic                                                                     2         
Hispanic                                                                     2         
Saturday Explorers                                                           2         
Holiday Concert                                                              2         
Classic Rock                                                                 2         
Women’s Empowerment                                                          2         
Concerts                                                                     2         
Hispanic Club                                                                2         
Multicultural Show                                                           2         
Liberty Partnership                                                          2         
International Thespian Society                                               2         
Publications                                                                 2         
Chinese Club                                                                 2         
Brain Bee                                                                    2         
Jewish Student Union                                                         2         
Bridge to Medicine                                                           2         
Filipino                                                                     2         
Haitian Club                                                                 2         
International Trips                                                          2         
STEM Club                                                                    2         
Based on student interest                                                    2         
Engineering                                                                  2         
Global Outreach                                                              2         
Girls Inc.                                                                   2         
After-School Tutorial                                                        2         
Link Employment and Responsibility Now (LEARN)                               2         
Musical Performances                                                         2         
PM/Saturday School                                                           2         
Stock Market Challenge                                                       2         
Big Brothers/Big Sisters                                                     1         
Student Government/Leadership                                                1         
Future Project                                                               1         
Weight Training (in our newly-renovated gym)                                 1         
ESL Saturday Academy                                                         1         
Young Women’s Empowerment                                                    1         
Student Assistance Services                                                  1         
Aviation                                                                     1         
Audio (at a live radio station)                                              1         
Guitar and Piano                                                             1         
Murals and School Beautification                                             1         
Video and Cooking. At UNHS                                                   1         
we will also help any student develop any club that has 10 or more students  1         
I Challenge Myself Bicycling Program                                         1         
Hip-Hop Beat Making & Rhyming                                                1         
the Brotherhood and Girl’s Group                                             1         
Scholars Program                                                             1         
Skateboarding PE Classes                                                     1         
Gardening Internships                                                        1         
Morgan Stanley Internship Program                                            1         
Rock Climbing at Brooklyn Boulders                                           1         
Golf                                                                         1         
Video Game Design                                                            1         
Surfing and Snowboarding through Stoked                                      1         
‘The Vine’ Student Newsletter                                                1         
After-school Program                                                         1         
College and Career Fair                                                      1         
Family Night                                                                 1         
Audio Recording                                                              1         
Camping                                                                      1         
Gallatin Great Works Project (NYU)                                           1         
Monthly Family Resource Fairs                                                1         
Sarah Lawrence College Student Interns                                       1         
Lunchtime Cafe Clubs                                                         1         
Annual Coffee House Concert                                                  1         
Competitive Ballroom Dancing                                                 1         
Educational Field Trips                                                      1         
Heart to Heart Charity                                                       1         
Kangaroo International Competition                                           1         
Mandarin                                                                     1         
Annual Talent Show                                                           1         
Scholastic Arts Competition                                                  1         
Social Justice                                                               1         
The Gauss Contest                                                            1         
The Purple Meet                                                              1         
Winter and Spring School Plays                                               1         
BHSEC Connect                                                                1         
BHSEC Student Activist Network                                               1         
BHSEC Student's Union                                                        1         
CAFE performances                                                            1         
Chinese Language and Culture                                                 1         
Current Events                                                               1         
ECO                                                                          1         
Future Doctors and Scientists of America (FDSA)                              1         
MAC (Making A Change)                                                        1         
Academic Bowl                                                                1         
ASL Performance                                                              1         
ASL Poetry                                                                   1         
Chorus: Signing and Singing                                                  1         
Food & Nutrition                                                             1         
Video Production and Editing                                                 1         
Visits to ASL Interpreted Broadway shows                                     1         
Naval JROTC                                                                  1         
Performing Arts Club                                                         1         
Art/Film Club                                                                1         
The Clinton Post (School Newspaper)                                          1         
Clinton Soup (Literary Magazine)                                             1         
GLSEN                                                                        1         
MECA-Zine                                                                    1         
PM and Saturday School                                                       1         
Maker Club                                                                   1         
Design Competitions: Startup Weekend EDU Teens                               1         
4-H                                                                          1         
Cornell Nutrition                                                            1         
Drama; Educated and Aware Teens Who Inspire Smart Eating (EATWISE)           1         
ProStart                                                                     1         
Scholarship                                                                  1         
Youth-run Business                                                           1         
Digital Learning                                                             1         
Event Planning                                                               1         
Field Trips to Colleges                                                      1         
Pilates                                                                      1         
Hydroponics Program; Junior Advisor Mentors                                  1         
Movie Night                                                                  1         
Academic Tutorials                                                           1         
Advisory Debates                                                             1         
Bridge Running                                                               1         
Mentorships                                                                  1         
Student Expositions                                                          1         
Student-designed Publications                                                1         
Anime/Video Game                                                             1         
Wellness Center                                                              1         
After-School Field Trips and Office Tours                                    1         
After-School and Summer Design programs                                      1         
International Travel Opportunities                                           1         
Audio                                                                        1         
HUSO                                                                         1         
Unity (Girls Club)                                                           1         
Finance                                                                      1         
Chess; Additional clubs are created based on student interest                1         
Freaks and Geeks                                                             1         
LoMA Cares Volunteer Group                                                   1         
After School of Rock                                                         1         
Weight Room and others                                                       1         
